
                        Performance Profile Database
                        ----------------------------

This file contains a log of all the performance profiling measurements that
SciTech Software has run on their extensive collection of PCI and VLB based
video cards. All measurements were run on the same machines using exactly
the same software and version of UniVBE (utilitsing full VBE 2.0 support
for maximum performance in all cases).

The following lists the video modes that were profiled and their resolution:

    13h     - 320x200x8,  Standard VGA
    153h    - 320x200x8,  banked framebuffer (SciTech SuperVGA mode)
    101h    - 640x480x8,  banked framebuffer
    110h    - 640x480x15, banked framebuffer
    111h    - 640x480x16, banked framebuffer
    112h    - 640x480x24, banked framebuffer
    128h    - 640x480x32, banked framebuffer
    4153h   - 320x200x8,  linear framebuffer (SciTech SuperVGA mode)
    4101h   - 640x480x8,  linear framebuffer
    4110h   - 640x480x15, linear framebuffer
    4111h   - 640x480x16, linear framebuffer
    4112h   - 640x480x24, linear framebuffer
    4128h   - 640x480x32, linear framebuffer

The following results were obtained on the following system configuration:

    Intel Pentium P90 ISA/PCI motherboard
    Award 'Energy Star' BIOS
    256Kb cache, 16Mb DRAM

+---------------------------------+-------+-----------------+-----------------+
| Video card name                 |  mode | clears/s (Mb/s) | bitBlt/s (Mb/s) |
| ALG2301 PCI 2Mb DRAM            |  111h |   38.79 (22.73) |   37.87 (22.19) |
| ALG2301 PCI 2Mb DRAM            |  112h |    7.08 ( 6.64) |   22.14 (20.75) |
+---------------------------------+-------+-----------------+-----------------+
| ALG2302 PCI 1Mb DRAM            |   13h |  915.12 (55.85) |  634.96 (38.75) |
| ALG2302 PCI 1Mb DRAM            |  153h |  913.98 (55.79) |  634.83 (38.75) |
| ALG2302 PCI 1Mb DRAM            |  101h |  189.29 (55.46) |  122.95 (36.02) |
| ALG2302 PCI 1Mb DRAM            |  110h |   87.34 (51.18) |   54.18 (31.75) |
| ALG2302 PCI 1Mb DRAM            |  111h |   87.34 (51.18) |   54.10 (31.70) |
| ALG2302 PCI 1Mb DRAM            |  112h |   11.32 (10.61) |   32.30 (30.28) |
| ALG2302 PCI 1Mb DRAM            | 4153h |  915.56 (55.88) |  635.47 (38.79) |
| ALG2302 PCI 1Mb DRAM            | 4101h |  188.38 (55.19) |  122.50 (35.89) |
| ALG2302 PCI 1Mb DRAM            | 4110h |   87.02 (50.99) |   54.01 (31.65) |
| ALG2302 PCI 1Mb DRAM            | 4111h |   87.03 (50.99) |   53.93 (31.60) |
| ALG2302 PCI 1Mb DRAM            | 4112h |   11.32 (10.61) |   32.25 (30.24) |
+---------------------------------+-------+-----------------+-----------------+
| Cirrus GD5434 PCI 2Mb DRAM      |   13h |  269.05 (16.42) |  268.89 (16.41) |
| Cirrus GD5434 PCI 2Mb DRAM      |  153h |  267.88 (16.35) |  267.63 (16.33) |
| Cirrus GD5434 PCI 2Mb DRAM      |  101h |   55.81 (16.35) |   55.76 (16.34) |
| Cirrus GD5434 PCI 2Mb DRAM      |  110h |   27.89 (16.34) |   27.87 (16.33) |
| Cirrus GD5434 PCI 2Mb DRAM      |  111h |   27.89 (16.34) |   27.88 (16.33) |
| Cirrus GD5434 PCI 2Mb DRAM      |  112h |    7.15 ( 6.70) |   17.37 (16.28) |
| Cirrus GD5434 PCI 2Mb DRAM      |  128h |   13.52 (15.84) |   13.50 (15.82) |
| Cirrus GD5434 PCI 2Mb DRAM      | 4153h |  267.97 (16.36) |  267.83 (16.35) |
| Cirrus GD5434 PCI 2Mb DRAM      | 4101h |   55.81 (16.35) |   55.80 (16.35) |
| Cirrus GD5434 PCI 2Mb DRAM      | 4110h |   27.90 (16.35) |   27.90 (16.35) |
| Cirrus GD5434 PCI 2Mb DRAM      | 4111h |   27.90 (16.35) |   27.90 (16.35) |
